doc_id	sentence_id	token_index	token	surprisal_bits	entropy_bits	pred_top	pred_next_1	pred_next_2	pred_next_3
demo1	1	0	Il	5.843185	9.865926	Elle			
demo1	1	1	m	0.154666	0.909868	m			
demo1	1	2	'	0.767052	2.229452	'			
demo1	1	3	a	3.483420	2.562843	avait			
demo1	1	4	donné	6.804898	5.703647	commandé			
demo1	1	5	une	8.903579	3.580847	un			
demo1	1	6	livre	16.258421	7.924288	explication			
demo1	1	7	.	8.764902	9.844557	personnalisée			
demo2	1	0	Nous	0.018022	0.113760	Nous			
demo2	1	1	avons	0.119262	0.454297	avons			
demo2	1	2	choisi	3.065125	5.233396	souscrit			
demo2	1	3	un	1.681855	2.519138	notre			
demo2	1	4	forfait	1.779176	3.812646	hébergement			
demo2	1	5	tout	7.601602	9.714391	entièrement			
demo2	1	6	inclus	1.135644	3.216925	inclus			
demo2	1	7	.	5.542494	8.001193	comprenant			
demo2	2	0	Nous	0.036472	0.217667	Nous			
demo2	2	1	avons	0.065371	0.366174	avons			
demo2	2	2	choisi	4.018739	4.732369	sélectionné			
demo2	2	3	un	13.190941	4.508268	rigoureusement			
demo2	2	4	le	7.449772	6.763975	deuxième			
demo2	2	5	meilleur	2.283811	7.719919	meilleur			
demo2	2	6	forfait	7.382900	6.176894	hébergement			
demo2	2	7	pour	4.025883	2.358381	pendant			
demo2	2	8	les	2.534072	1.939780	vos			
demo2	2	9	vacances	2.254487	6.157797	vacances			
demo2	2	10	de	3.818269	6.036956	scolaires			
demo2	2	11	printemps	3.787476	4.338631	Pâques			
demo2	2	12	.	6.903103	5.651181	2018.			
demo3	1	0	Marie	8.367876	8.218342	Elle			
demo3	1	1	a	0.688103	2.220287	a			
demo3	1	2	pris	8.371350	5.315207	refermé			
demo3	1	3	le	2.119257	2.567163	son			
demo3	1	4	livre	8.785567	8.483325	relais			
demo3	1	5	.	3.579796	9.206528	.			
demo3	1	6	Elle	2.976446	7.275514	Elle			
demo3	1	7	l	0.690342	2.077358	l			
demo3	1	8	'	0.885637	1.905630	'			
demo3	1	9	a	2.787639	2.838761	avait			
demo3	1	10	prise	13.902740	6.516518	refermé			
demo3	1	11	.	6.753457	7.174434	délicatement			
demo4	2	0	Marie	8.420963	8.436643	Elle			
