doc_id	sentence_id	sentence
wiki_10123	1	Un solvant est une substance, liquide ou supercritique à sa température d'utilisation, qui a la propriété de dissoudre, de diluer ou d'extraire d’autres substances sans les modifier chimiquement et sans lui-même se modifier.
wiki_10123	2	Les solvants sont utilisés dans des secteurs très diversifiés tels que le dégraissage, les peintures, les encres, la détergence, la synthèse organique, et représentent des quantités considérables en termes de tonnage et de chiffre d'affaires.
wiki_10123	3	En Suisse romande et en Belgique, on utilise le terme anglais thinner pour les solvants organiques destinés à la dilution des peintures.
wiki_10123	4	L'eau est le solvant le plus courant, la solution étant alors qualifiée de solution aqueuse.
wiki_10155	1	L'azote liquide correspond au gaz diazote refroidi en dessous de son point d'ébullition à 77,36 K (−195,79 °C) sous une pression d'une atmosphère (atm).
wiki_10155	2	Il a l'apparence d'un liquide limpide, d'où s'échappent des vapeurs blanches.
wiki_10155	3	L'azote liquide, condensé pour la première fois sous la forme d'un brouillard par le chimiste et physicien français Louis Paul Cailletet en 1877, puis quelques jours après par le physicien suisse Raoul Pictet, fut obtenu de façon plus stable en 1883 par les scientifiques polonais Karol Olszewski et Zygmunt Wróblewski à l'université de Cracovie (Uniwersytet Jagielloński), est un liquide cryogénique très courant, tant dans le domaine de la recherche scientifique que dans l'industrie, en particulier en raison de son faible coût (de l'ordre de cinq centimes d'euro par litre, soit environ cinquante fois moins que l'hélium liquide).
wiki_10155	4	Il est utilisé par exemple en sciences biologiques pour stocker ou pour broyer du matériel biologique à une température très froide où l'action des enzymes est fortement inhibée.
wiki_10155	5	On le stocke dans des bonbonnes isothermes réservées à cet usage.
wiki_10155	6	Le vase de Dewar est communément utilisé dans les laboratoires pour stocker l'azote liquide.
wiki_10155	7	L'excellente isolation de ce vase se traduit par une très lente « ébullition », ce qui permet une longue conservation de l'azote liquide, et évite un coûteux équipement de réfrigération.
wiki_10229	1	Une plaine, qui dérive du mot latin plana, est une grande étendue de terrain sans relief , espace géographique caractérisé par une surface plane, ou légèrement ondulée, d’altitude peu élevée par rapport au niveau de la mer ou d’altitude moindre que les régions environnantes.
wiki_10229	2	Le relief de la France métropolitaine est de 0 à 200 m pour les plaines.
wiki_10229	3	En Asie centrale, la plaine se situe à environ 500 m d'altitude.
wiki_10229	4	En Amérique du Sud, il existe de vastes plaines dans les très hautes montagnes.
wiki_10229	5	Une plaine est dominée par les reliefs environnants.
wiki_10229	6	L'ancienne acception du mot, jusqu'au XVIIIe siècle, était plus large : une plaine était tout espace plat, qu'il soit à basse altitude ou non.
wiki_10229	7	Un plateau était donc une plaine.
wiki_10266	1	L'anglo-français de petite vénerie est une race de chiens originaire de France.
wiki_10266	2	C'est un chien courant de taille moyenne, de type anglo-français, à la robe tricolore, blanc et noir ou blanc et orange.
wiki_10266	3	De création récente, l'anglo-français de petite vénerie est un chien de chasse pour tout type de gibier, pour la chasse à courre ou la chasse à pied.
wiki_10396	1	Un Balrog est une créature de fiction issue du légendaire (legendarium) de l'écrivain J. R. R. Tolkien.
wiki_10396	2	C'est une puissante créature démoniaque, un esprit du feu appartenant à la race des Maiar mais corrompu par le mal.
wiki_10396	3	Les Balrogs apparaissent pour la première fois dans le roman le Seigneur des anneaux (1954-1955) dans les chapitres consacrés aux mines de la Moria, mais figuraient déjà dans des écrits antérieurs de Tolkien, apparaissant de manière posthume dans Le Silmarillion (1977) et d'autres ouvrages.
wiki_10396	4	Les Balrogs sont décrits comme des créatures anthropoïdes de grande taille, capables de s'envelopper dans les flammes ou les ténèbres et les ombres, et inspirant une grande peur.
wiki_10396	5	Ils apparaissent fréquemment armés de fouets ardents à plusieurs lanières (des chats à neuf queues) et parfois maniant de longues épées à la lame enflammée.
wiki_10396	6	Dans la conception tardive de Tolkien, les Balrogs ne pouvaient pas être facilement détruits ; une puissance significative était requise.
wiki_10396	7	Seuls les dragons rivalisaient avec leur capacité de férocité et de destruction et, pendant le Premier Âge de la Terre du Milieu, les Balrogs étaient les êtres les plus redoutés parmi les forces de Morgoth.
wiki_10430	1	La couronne Hedjet « la Blanche, la Brillante », est une couronne blanche originaire de la Haute-Égypte au temps de l'Égypte antique.
wiki_10430	2	Cette couronne, adoptée par les rois de Haute-Égypte, se présente sous la forme d'un bonnet se rétrécissant vers le haut et se terminant par un renflement.
wiki_10430	3	Pour symboliser l'union de la Haute-Égypte et de la Basse-Égypte, le pharaon ceint les deux couronnes à la fois.
wiki_10430	4	La couronne rouge du nord, la couronne Decheret, encercle la couronne blanche du sud, la couronne Hedjet, qui semble surgir de la première.
wiki_10430	5	Cet emblème porté par le roi est appelé Pschent.
wiki_10517	1	La basilique de Maxence et Constantin (Basilica Maxentii et Constantini), ou Basilica Nova une basilique civile de la Rome antique, qui remonte au début du IVe siècle.
wiki_10517	2	La construction fut commencée par l'empereur Maxence et terminée par Constantin Ier, vainqueur de Maxence à la bataille du pont Milvius.
wiki_10517	3	La basilique fut érigée le long de la Voie Sacrée, entre le Forum romain et le temple de Vénus et de Rome, dans la Velia.
wiki_10524	1	Ceux de 14 est un recueil de récits de guerre de Maurice Genevoix, rassemblés sous un même titre en 1949.
wiki_10524	2	De son expérience du front (août 1914 – avril 1915), il avait publié cinq ouvrages formant un témoignage authentique et précis de ce qu’il avait vécu et observé : Sous Verdun, en avril 1916, Nuits de guerre, en décembre 1916, Au seuil des guitounes, en septembre 1918, La Boue, en février 1921, et Les Éparges, en septembre 1921.
wiki_10524	3	Cette œuvre à la fois historique et littéraire figure au premier rang des témoignages publiés sur la Première Guerre mondiale.
wiki_10966	1	Les Roller shoes sont des baskets à roulette, avec une seule roue située sous le talon.
wiki_10966	2	Heelys est la marque qui a « inventé » et breveté ce concept.
wiki_10966	3	La roue est amovible.
wiki_10966	4	Tous les modèles permettent de marcher même avec la roue installée.
wiki_10966	5	La sensation est de marcher sur un talon rehaussé et de gagner quelques centimètres.
wiki_10976	1	Teotihuacan (qui s'orthographie également Teotihuacán, avec un accent sur la dernière syllabe, sans que cela corresponde à la prononciation en nahuatl) est un important site archéologique de la vallée de Mexico, comprenant certaines des plus grandes pyramides mésoaméricaines jamais construites.
wiki_10976	2	Outre ses structures pyramidales, Teotihuacan est également connue pour ses grands complexes résidentiels, son avenue centrale appelée par les Aztèques « chaussée des Morts » et ses nombreuses peintures murales aux couleurs bien conservées.
wiki_10976	3	La ville s'est développée à partir de 100 av. J.-C. et fut habitée jusqu'à son abandon entre les VIe et VIIe siècles.
wiki_10976	4	À son apogée, dans la première moitié du Ier millénaire, à l'Époque classique, Teotihuacan était la plus grande ville de toute l'Amérique précolombienne et pourrait avoir compté plus de 200 000 habitants, ce qui en faisait l'une des plus grandes du monde de l'époque.
wiki_10976	5	La civilisation et le complexe culturel associé au site sont également désignés sous le nom de Teotihuacan ou Teotihuacán, en espagnol Teotihuacano.
wiki_10976	6	Le statut de Teotihuacan comme centre d'un Empire est discuté, mais sa puissance en Mésoamérique est bien documentée et prouve l'existence d'une civilisation de Teotihuacan : son influence politique et économique peut être constatée dans de nombreux sites de l'État de Veracruz et de la région maya.
wiki_10976	7	L'origine ethnique des habitants de Teotihuacan fait également débat : parmi les candidats possibles se proposent les peuples nahuas, otomis ou totonaques.
wiki_10976	8	Comme c'est souvent le cas des métropoles, il est possible que Teotihuacan ait été un État multiethnique : les fouilles archéologiques ont en effet montré que Teotihuacan comportait des quartiers distincts pour les Zapotèques, les gens de la côte du golfe du Mexique ou les Mayas.
wiki_10976	9	Selon le chroniqueur espagnol Juan de Torquemada, les Totonaques affirmaient qu'ils en étaient les bâtisseurs.
wiki_10976	10	La cité se trouve à l'emplacement actuel des municipalités de Teotihuacán et de San Martín de las Pirámides, situées dans l'État de Mexico au Mexique, à environ 40 kilomètres au nord-est de la ville de Mexico et couvre une superficie totale de 82,66 km2 (19° 41′ N, 98° 50′ O).
wiki_10976	11	Le site a été inscrit au Patrimoine mondial de l'UNESCO en 1987.
wiki_10976	12	C'est l'un des sites archéologiques les plus visités du Mexique.
wiki_1102	1	Thomas More, latinisé en Thomas Morus (7 février 1478, Londres – 6 juillet 1535, Londres), est un saint catholique, juriste, historien, philosophe, humaniste, théologien et homme politique anglais.
wiki_1102	2	Grand ami d'Érasme, érudit, philanthrope, il participe pleinement au renouveau de la pensée qui caractérise cette époque, ainsi qu'à l'humanisme, dont il est l'un des représentants anglais.
wiki_1102	3	Nommé « ambassadeur extraordinaire », puis « chancelier du roi » par Henri VIII, il désavoue le divorce du roi et refuse de cautionner le schisme avec Rome : il démissionne de sa charge en 1532.
wiki_1102	4	Devant la persistance de son attitude, il est emprisonné, puis décapité comme « traître ».
wiki_1102	5	Béatifié le 29 décembre 1886 par Léon XIII, Thomas More est canonisé — saint Thomas More — le 19 mai 1935 par le pape Pie XI.
wiki_11519	1	Le Jilin (chinois : 吉林 ; pinyin : Jílín), abrégé en Ji (吉, jí), est une province du nord-est de la république populaire de Chine.
